""

"Save Time: 21/06/2015 10:23:06"
"User Name:omcuser"


" "

"Total 202 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 18:00:00 UTC+06:00,1 Hour,1.44G,438.0M,35.93,10.95
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 19:00:00 UTC+06:00,1 Hour,1.51G,492.0M,37.82,12.31
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 20:00:00 UTC+06:00,1 Hour,1.73G,551.0M,43.21,13.78
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 21:00:00 UTC+06:00,1 Hour,1.82G,556.0M,45.57,13.91
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 22:00:00 UTC+06:00,1 Hour,1.85G,516.0M,46.24,12.89
CR07_BSS_NE40E_X8_A/Eth-Trunk0,14/06/2015 23:00:00 UTC+06:00,1 Hour,1.95G,445.0M,48.67,11.12
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 00:00:00 UTC+06:00,1 Hour,1.85G,354.0M,46.19,8.84
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 01:00:00 UTC+06:00,1 Hour,1.38G,227.0M,34.56,5.68
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 02:00:00 UTC+06:00,1 Hour,822.0M,130.0M,20.55,3.25
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 03:00:00 UTC+06:00,1 Hour,477.0M,81.9M,11.93,2.05
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 04:00:00 UTC+06:00,1 Hour,278.0M,59.3M,6.95,1.48
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 05:00:00 UTC+06:00,1 Hour,257.0M,62.8M,6.42,1.57
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 06:00:00 UTC+06:00,1 Hour,345.0M,93.2M,8.64,2.33
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 07:00:00 UTC+06:00,1 Hour,531.0M,158.0M,13.29,3.95
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 08:00:00 UTC+06:00,1 Hour,741.0M,222.0M,18.54,5.55
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 09:00:00 UTC+06:00,1 Hour,979.0M,299.0M,24.48,7.46
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 10:00:00 UTC+06:00,1 Hour,1.2G,371.0M,30.09,9.27
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 11:00:00 UTC+06:00,1 Hour,1.29G,397.0M,32.25,9.92
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 12:00:00 UTC+06:00,1 Hour,1.35G,401.0M,33.76,10.01
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 13:00:00 UTC+06:00,1 Hour,1.37G,403.0M,34.34,10.07
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 14:00:00 UTC+06:00,1 Hour,1.33G,403.0M,33.26,10.06
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 15:00:00 UTC+06:00,1 Hour,1.4G,406.0M,35.04,10.15
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 16:00:00 UTC+06:00,1 Hour,1.38G,403.0M,34.53,10.07
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 17:00:00 UTC+06:00,1 Hour,1.28G,396.0M,31.90,9.90
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 18:00:00 UTC+06:00,1 Hour,1.35G,436.0M,33.76,10.91
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 19:00:00 UTC+06:00,1 Hour,1.48G,488.0M,36.99,12.20
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 20:00:00 UTC+06:00,1 Hour,1.63G,543.0M,40.83,13.58
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 21:00:00 UTC+06:00,1 Hour,1.74G,555.0M,43.47,13.88
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 22:00:00 UTC+06:00,1 Hour,1.87G,525.0M,46.75,13.14
CR07_BSS_NE40E_X8_A/Eth-Trunk0,15/06/2015 23:00:00 UTC+06:00,1 Hour,1.92G,449.0M,48.03,11.22
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 00:00:00 UTC+06:00,1 Hour,1.81G,353.0M,45.33,8.83
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 01:00:00 UTC+06:00,1 Hour,1.34G,228.0M,33.51,5.69
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 02:00:00 UTC+06:00,1 Hour,816.0M,137.0M,20.40,3.42
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 03:00:00 UTC+06:00,1 Hour,459.0M,80.1M,11.47,2.00
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 04:00:00 UTC+06:00,1 Hour,258.0M,56.5M,6.45,1.41
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 05:00:00 UTC+06:00,1 Hour,256.0M,63.1M,6.41,1.58
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 06:00:00 UTC+06:00,1 Hour,358.0M,98.2M,8.96,2.46
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 07:00:00 UTC+06:00,1 Hour,592.0M,167.0M,14.80,4.17
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 08:00:00 UTC+06:00,1 Hour,794.0M,224.0M,19.85,5.61
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 09:00:00 UTC+06:00,1 Hour,985.0M,302.0M,24.64,7.55
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 10:00:00 UTC+06:00,1 Hour,1.15G,364.0M,28.75,9.11
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 11:00:00 UTC+06:00,1 Hour,1.27G,398.0M,31.66,9.94
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 12:00:00 UTC+06:00,1 Hour,1.33G,407.0M,33.20,10.16
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 13:00:00 UTC+06:00,1 Hour,1.36G,414.0M,33.89,10.36
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 14:00:00 UTC+06:00,1 Hour,1.36G,404.0M,34.08,10.09
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 15:00:00 UTC+06:00,1 Hour,1.4G,415.0M,35.00,10.37
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 16:00:00 UTC+06:00,1 Hour,1.41G,414.0M,35.13,10.34
CR07_BSS_NE40E_X8_A/Eth-Trunk0,16/06/2015 17:00:00 UTC+06:00,1 Hour,1.31G,407.0M,32.69,10.17
