""

"Save Time: 21/06/2015 10:23:06"
"User Name:omcuser"


" "

"Total 202 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)"
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:00:00 UTC+06:00,5 Min,110.0M,57.3M,2.76,1.43
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:05:00 UTC+06:00,5 Min,108.0M,58.1M,2.70,1.45
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:10:00 UTC+06:00,5 Min,105.0M,57.4M,2.62,1.43
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:15:00 UTC+06:00,5 Min,106.0M,57.5M,2.64,1.44
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:20:00 UTC+06:00,5 Min,105.0M,56.1M,2.61,1.40
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:25:00 UTC+06:00,5 Min,107.0M,59.9M,2.67,1.50
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:30:00 UTC+06:00,5 Min,114.0M,64.5M,2.86,1.61
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:35:00 UTC+06:00,5 Min,127.0M,75.3M,3.19,1.88
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:40:00 UTC+06:00,5 Min,141.0M,87.5M,3.54,2.19
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:45:00 UTC+06:00,5 Min,166.0M,106.0M,4.14,2.64
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:50:00 UTC+06:00,5 Min,197.0M,126.0M,4.93,3.15
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 02:55:00 UTC+06:00,5 Min,228.0M,147.0M,5.70,3.67
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:00:00 UTC+06:00,5 Min,262.0M,166.0M,6.54,4.16
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:05:00 UTC+06:00,5 Min,292.0M,185.0M,7.30,4.62
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:10:00 UTC+06:00,5 Min,295.0M,186.0M,7.38,4.65
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:15:00 UTC+06:00,5 Min,300.0M,186.0M,7.51,4.66
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:20:00 UTC+06:00,5 Min,323.0M,195.0M,8.08,4.87
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:25:00 UTC+06:00,5 Min,358.0M,211.0M,8.94,5.26
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:30:00 UTC+06:00,5 Min,427.0M,248.0M,10.66,6.19
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:35:00 UTC+06:00,5 Min,507.0M,285.0M,12.69,7.13
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:40:00 UTC+06:00,5 Min,566.0M,314.0M,14.16,7.86
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:45:00 UTC+06:00,5 Min,593.0M,328.0M,14.82,8.20
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:50:00 UTC+06:00,5 Min,470.0M,269.0M,11.75,6.73
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 03:55:00 UTC+06:00,5 Min,362.0M,196.0M,9.06,4.89
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:00:00 UTC+06:00,5 Min,298.0M,160.0M,7.46,3.99
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:05:00 UTC+06:00,5 Min,268.0M,146.0M,6.70,3.66
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:10:00 UTC+06:00,5 Min,254.0M,143.0M,6.36,3.58
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:15:00 UTC+06:00,5 Min,261.0M,145.0M,6.53,3.63
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:20:00 UTC+06:00,5 Min,251.0M,139.0M,6.27,3.49
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:25:00 UTC+06:00,5 Min,222.0M,123.0M,5.56,3.07
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:30:00 UTC+06:00,5 Min,185.0M,103.0M,4.64,2.57
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:35:00 UTC+06:00,5 Min,154.0M,87.2M,3.86,2.18
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:40:00 UTC+06:00,5 Min,131.0M,75.0M,3.27,1.88
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:45:00 UTC+06:00,5 Min,112.0M,66.1M,2.79,1.65
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:50:00 UTC+06:00,5 Min,97.8M,59.4M,2.45,1.49
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 04:55:00 UTC+06:00,5 Min,89.2M,56.0M,2.23,1.40
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:00:00 UTC+06:00,5 Min,80.0M,50.8M,2.00,1.27
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:05:00 UTC+06:00,5 Min,73.7M,48.4M,1.84,1.21
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:10:00 UTC+06:00,5 Min,70.1M,47.1M,1.75,1.18
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:15:00 UTC+06:00,5 Min,70.0M,47.8M,1.75,1.20
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:20:00 UTC+06:00,5 Min,68.9M,47.7M,1.72,1.19
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:25:00 UTC+06:00,5 Min,70.4M,49.2M,1.76,1.23
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:30:00 UTC+06:00,5 Min,72.5M,51.7M,1.81,1.29
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:35:00 UTC+06:00,5 Min,73.9M,52.6M,1.85,1.32
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:40:00 UTC+06:00,5 Min,76.2M,54.2M,1.91,1.35
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:45:00 UTC+06:00,5 Min,80.6M,58.5M,2.02,1.46
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:50:00 UTC+06:00,5 Min,87.4M,64.1M,2.19,1.60
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 05:55:00 UTC+06:00,5 Min,93.3M,68.9M,2.33,1.72
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:00:00 UTC+06:00,5 Min,98.1M,73.0M,2.45,1.82
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:05:00 UTC+06:00,5 Min,106.0M,77.9M,2.64,1.95
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:10:00 UTC+06:00,5 Min,114.0M,82.9M,2.85,2.07
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:15:00 UTC+06:00,5 Min,123.0M,90.2M,3.07,2.26
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:20:00 UTC+06:00,5 Min,132.0M,97.7M,3.31,2.44
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:25:00 UTC+06:00,5 Min,145.0M,105.0M,3.63,2.62
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:30:00 UTC+06:00,5 Min,155.0M,111.0M,3.87,2.79
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:35:00 UTC+06:00,5 Min,167.0M,119.0M,4.16,2.97
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:40:00 UTC+06:00,5 Min,174.0M,125.0M,4.34,3.13
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:45:00 UTC+06:00,5 Min,188.0M,135.0M,4.69,3.38
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:50:00 UTC+06:00,5 Min,200.0M,145.0M,5.01,3.62
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 06:55:00 UTC+06:00,5 Min,205.0M,149.0M,5.13,3.72
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:00:00 UTC+06:00,5 Min,209.0M,152.0M,5.23,3.80
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:05:00 UTC+06:00,5 Min,214.0M,156.0M,5.34,3.91
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:10:00 UTC+06:00,5 Min,223.0M,162.0M,5.58,4.05
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:15:00 UTC+06:00,5 Min,237.0M,169.0M,5.92,4.23
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:20:00 UTC+06:00,5 Min,250.0M,181.0M,6.25,4.52
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:25:00 UTC+06:00,5 Min,260.0M,188.0M,6.50,4.70
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:30:00 UTC+06:00,5 Min,274.0M,196.0M,6.86,4.90
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:35:00 UTC+06:00,5 Min,287.0M,208.0M,7.18,5.21
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:40:00 UTC+06:00,5 Min,300.0M,220.0M,7.49,5.50
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:45:00 UTC+06:00,5 Min,316.0M,232.0M,7.91,5.79
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:50:00 UTC+06:00,5 Min,324.0M,238.0M,8.10,5.94
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 07:55:00 UTC+06:00,5 Min,338.0M,248.0M,8.46,6.21
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:00:00 UTC+06:00,5 Min,347.0M,253.0M,8.67,6.34
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:05:00 UTC+06:00,5 Min,371.0M,270.0M,9.28,6.75
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:10:00 UTC+06:00,5 Min,388.0M,285.0M,9.70,7.13
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:15:00 UTC+06:00,5 Min,406.0M,296.0M,10.15,7.40
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:20:00 UTC+06:00,5 Min,423.0M,303.0M,10.57,7.58
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:25:00 UTC+06:00,5 Min,440.0M,316.0M,11.01,7.90
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:30:00 UTC+06:00,5 Min,456.0M,323.0M,11.40,8.07
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:35:00 UTC+06:00,5 Min,459.0M,325.0M,11.47,8.12
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:40:00 UTC+06:00,5 Min,471.0M,333.0M,11.77,8.32
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:45:00 UTC+06:00,5 Min,485.0M,341.0M,12.13,8.53
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:50:00 UTC+06:00,5 Min,502.0M,354.0M,12.55,8.84
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 08:55:00 UTC+06:00,5 Min,519.0M,362.0M,12.97,9.04
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:00:00 UTC+06:00,5 Min,537.0M,376.0M,13.42,9.39
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:05:00 UTC+06:00,5 Min,560.0M,391.0M,14.00,9.77
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:10:00 UTC+06:00,5 Min,572.0M,396.0M,14.29,9.89
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:15:00 UTC+06:00,5 Min,596.0M,412.0M,14.90,10.29
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:20:00 UTC+06:00,5 Min,610.0M,421.0M,15.24,10.52
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:25:00 UTC+06:00,5 Min,621.0M,430.0M,15.54,10.74
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:30:00 UTC+06:00,5 Min,641.0M,434.0M,16.02,10.85
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:35:00 UTC+06:00,5 Min,651.0M,440.0M,16.28,11.00
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:40:00 UTC+06:00,5 Min,666.0M,451.0M,16.65,11.27
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:45:00 UTC+06:00,5 Min,686.0M,461.0M,17.14,11.52
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:50:00 UTC+06:00,5 Min,694.0M,464.0M,17.35,11.60
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 09:55:00 UTC+06:00,5 Min,700.0M,468.0M,17.49,11.69
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 10:00:00 UTC+06:00,5 Min,720.0M,481.0M,18.00,12.02
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 10:05:00 UTC+06:00,5 Min,732.0M,484.0M,18.30,12.10
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 10:10:00 UTC+06:00,5 Min,739.0M,485.0M,18.47,12.13
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 10:15:00 UTC+06:00,5 Min,746.0M,489.0M,18.66,12.23
MT14-C-CE-SW-1-A/Eth-Trunk5,21/06/2015 10:20:00 UTC+06:00,5 Min,759.0M,496.0M,18.97,12.39


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:25:00 UTC+06:00,5 Min,722.0M,732.0M,14.43,14.65,732.0M,14.65,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:30:00 UTC+06:00,5 Min,730.0M,744.0M,14.60,14.88,744.0M,14.88,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:35:00 UTC+06:00,5 Min,730.0M,745.0M,14.61,14.89,745.0M,14.89,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:40:00 UTC+06:00,5 Min,738.0M,753.0M,14.75,15.07,753.0M,15.07,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:45:00 UTC+06:00,5 Min,739.0M,756.0M,14.78,15.12,756.0M,15.12,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:50:00 UTC+06:00,5 Min,740.0M,758.0M,14.79,15.16,758.0M,15.16,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 10:55:00 UTC+06:00,5 Min,747.0M,764.0M,14.94,15.28,764.0M,15.28,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:00:00 UTC+06:00,5 Min,757.0M,776.0M,15.13,15.52,776.0M,15.52,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:05:00 UTC+06:00,5 Min,753.0M,769.0M,15.06,15.38,769.0M,15.38,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:10:00 UTC+06:00,5 Min,756.0M,770.0M,15.11,15.40,770.0M,15.40,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:15:00 UTC+06:00,5 Min,756.0M,774.0M,15.13,15.48,774.0M,15.48,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:20:00 UTC+06:00,5 Min,754.0M,774.0M,15.08,15.47,774.0M,15.47,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:25:00 UTC+06:00,5 Min,754.0M,776.0M,15.09,15.52,776.0M,15.52,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:30:00 UTC+06:00,5 Min,747.0M,768.0M,14.95,15.35,768.0M,15.35,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:35:00 UTC+06:00,5 Min,744.0M,765.0M,14.88,15.30,765.0M,15.30,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:40:00 UTC+06:00,5 Min,747.0M,767.0M,14.94,15.34,767.0M,15.34,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:45:00 UTC+06:00,5 Min,745.0M,768.0M,14.90,15.35,768.0M,15.35,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:50:00 UTC+06:00,5 Min,744.0M,767.0M,14.88,15.33,767.0M,15.33,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 11:55:00 UTC+06:00,5 Min,739.0M,763.0M,14.78,15.26,763.0M,15.26,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:00:00 UTC+06:00,5 Min,733.0M,758.0M,14.66,15.16,758.0M,15.16,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:05:00 UTC+06:00,5 Min,728.0M,751.0M,14.57,15.03,751.0M,15.03,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:10:00 UTC+06:00,5 Min,732.0M,758.0M,14.64,15.17,758.0M,15.17,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:15:00 UTC+06:00,5 Min,733.0M,757.0M,14.66,15.14,757.0M,15.14,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:20:00 UTC+06:00,5 Min,737.0M,757.0M,14.74,15.14,757.0M,15.14,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:25:00 UTC+06:00,5 Min,734.0M,753.0M,14.67,15.07,753.0M,15.07,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:30:00 UTC+06:00,5 Min,728.0M,749.0M,14.56,14.97,749.0M,14.97,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:35:00 UTC+06:00,5 Min,718.0M,743.0M,14.35,14.86,743.0M,14.86,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:40:00 UTC+06:00,5 Min,706.0M,732.0M,14.13,14.64,732.0M,14.64,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:45:00 UTC+06:00,5 Min,701.0M,723.0M,14.03,14.46,723.0M,14.46,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:50:00 UTC+06:00,5 Min,698.0M,719.0M,13.96,14.37,719.0M,14.37,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 12:55:00 UTC+06:00,5 Min,691.0M,714.0M,13.83,14.28,714.0M,14.28,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:00:00 UTC+06:00,5 Min,686.0M,710.0M,13.73,14.21,710.0M,14.21,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:05:00 UTC+06:00,5 Min,664.0M,700.0M,13.28,13.99,700.0M,13.99,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:10:00 UTC+06:00,5 Min,665.0M,688.0M,13.30,13.77,688.0M,13.77,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:15:00 UTC+06:00,5 Min,654.0M,678.0M,13.09,13.55,678.0M,13.55,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:20:00 UTC+06:00,5 Min,645.0M,666.0M,12.90,13.32,666.0M,13.32,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:25:00 UTC+06:00,5 Min,633.0M,652.0M,12.66,13.04,652.0M,13.04,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:30:00 UTC+06:00,5 Min,622.0M,639.0M,12.45,12.78,639.0M,12.78,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:35:00 UTC+06:00,5 Min,607.0M,619.0M,12.14,12.39,619.0M,12.39,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:40:00 UTC+06:00,5 Min,601.0M,614.0M,12.02,12.28,614.0M,12.28,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:45:00 UTC+06:00,5 Min,610.0M,625.0M,12.20,12.50,625.0M,12.50,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:50:00 UTC+06:00,5 Min,640.0M,658.0M,12.79,13.15,658.0M,13.15,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 13:55:00 UTC+06:00,5 Min,660.0M,678.0M,13.20,13.57,678.0M,13.57,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:00:00 UTC+06:00,5 Min,661.0M,680.0M,13.22,13.60,680.0M,13.60,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:05:00 UTC+06:00,5 Min,660.0M,681.0M,13.19,13.61,681.0M,13.61,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:10:00 UTC+06:00,5 Min,661.0M,679.0M,13.22,13.58,679.0M,13.58,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:15:00 UTC+06:00,5 Min,655.0M,674.0M,13.11,13.48,674.0M,13.48,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:20:00 UTC+06:00,5 Min,665.0M,682.0M,13.31,13.63,682.0M,13.63,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:25:00 UTC+06:00,5 Min,667.0M,684.0M,13.34,13.68,684.0M,13.68,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:30:00 UTC+06:00,5 Min,670.0M,686.0M,13.40,13.72,686.0M,13.72,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:35:00 UTC+06:00,5 Min,669.0M,685.0M,13.37,13.71,685.0M,13.71,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:40:00 UTC+06:00,5 Min,666.0M,680.0M,13.33,13.60,680.0M,13.60,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:45:00 UTC+06:00,5 Min,677.0M,691.0M,13.53,13.82,691.0M,13.82,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:50:00 UTC+06:00,5 Min,675.0M,690.0M,13.51,13.79,690.0M,13.79,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 14:55:00 UTC+06:00,5 Min,674.0M,689.0M,13.48,13.77,689.0M,13.77,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:00:00 UTC+06:00,5 Min,682.0M,695.0M,13.64,13.90,695.0M,13.90,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:05:00 UTC+06:00,5 Min,678.0M,690.0M,13.56,13.80,690.0M,13.80,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:10:00 UTC+06:00,5 Min,676.0M,689.0M,13.52,13.78,689.0M,13.78,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:15:00 UTC+06:00,5 Min,683.0M,695.0M,13.66,13.89,695.0M,13.89,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:20:00 UTC+06:00,5 Min,687.0M,698.0M,13.74,13.96,698.0M,13.96,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:25:00 UTC+06:00,5 Min,693.0M,705.0M,13.86,14.11,705.0M,14.11,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:30:00 UTC+06:00,5 Min,697.0M,711.0M,13.93,14.22,711.0M,14.22,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:35:00 UTC+06:00,5 Min,685.0M,699.0M,13.70,13.97,699.0M,13.97,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:40:00 UTC+06:00,5 Min,686.0M,700.0M,13.73,14.00,700.0M,14.00,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:45:00 UTC+06:00,5 Min,691.0M,701.0M,13.82,14.02,701.0M,14.02,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:50:00 UTC+06:00,5 Min,695.0M,704.0M,13.89,14.07,704.0M,14.07,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 15:55:00 UTC+06:00,5 Min,690.0M,702.0M,13.81,14.04,702.0M,14.04,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 16:00:00 UTC+06:00,5 Min,685.0M,699.0M,13.71,13.97,699.0M,13.97,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 16:05:00 UTC+06:00,5 Min,682.0M,700.0M,13.65,14.00,700.0M,14.00,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 16:10:00 UTC+06:00,5 Min,678.0M,694.0M,13.55,13.87,694.0M,13.87,0,0,5.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk1,20/06/2015 16:15:00 UTC+06:00,5 Min,661.0M,679.0M,13.21,13.58,679.0M,13.58,0,0,5.0G,100.00
