""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:05:00 UTC+06:00,5 Min,483.0M,410.0M,12.09,10.24,483.0M,10.24,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:10:00 UTC+06:00,5 Min,470.0M,397.0M,11.74,9.92,470.0M,9.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:15:00 UTC+06:00,5 Min,462.0M,388.0M,11.56,9.70,462.0M,9.70,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:20:00 UTC+06:00,5 Min,462.0M,382.0M,11.55,9.54,462.0M,9.54,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:25:00 UTC+06:00,5 Min,437.0M,369.0M,10.92,9.23,437.0M,9.23,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:30:00 UTC+06:00,5 Min,440.0M,371.0M,11.00,9.27,440.0M,9.27,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:35:00 UTC+06:00,5 Min,430.0M,371.0M,10.76,9.28,430.0M,9.28,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:40:00 UTC+06:00,5 Min,433.0M,374.0M,10.82,9.34,433.0M,9.34,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:45:00 UTC+06:00,5 Min,449.0M,396.0M,11.22,9.90,449.0M,9.90,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:50:00 UTC+06:00,5 Min,471.0M,419.0M,11.79,10.48,471.0M,10.48,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 13:55:00 UTC+06:00,5 Min,483.0M,425.0M,12.09,10.63,483.0M,10.63,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:00:00 UTC+06:00,5 Min,487.0M,437.0M,12.18,10.92,487.0M,10.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:05:00 UTC+06:00,5 Min,465.0M,404.0M,11.62,10.10,465.0M,10.10,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:10:00 UTC+06:00,5 Min,463.0M,394.0M,11.57,9.85,463.0M,9.85,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:15:00 UTC+06:00,5 Min,467.0M,394.0M,11.69,9.86,467.0M,9.86,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:20:00 UTC+06:00,5 Min,466.0M,390.0M,11.64,9.75,466.0M,9.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:25:00 UTC+06:00,5 Min,468.0M,395.0M,11.70,9.86,468.0M,9.86,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:30:00 UTC+06:00,5 Min,479.0M,418.0M,11.97,10.44,479.0M,10.44,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:35:00 UTC+06:00,5 Min,490.0M,430.0M,12.26,10.75,490.0M,10.75,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:40:00 UTC+06:00,5 Min,471.0M,406.0M,11.76,10.15,471.0M,10.15,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:45:00 UTC+06:00,5 Min,484.0M,415.0M,12.10,10.38,484.0M,10.38,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:50:00 UTC+06:00,5 Min,468.0M,398.0M,11.69,9.95,468.0M,9.95,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 14:55:00 UTC+06:00,5 Min,466.0M,398.0M,11.64,9.96,466.0M,9.96,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:00:00 UTC+06:00,5 Min,469.0M,397.0M,11.73,9.91,469.0M,9.91,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:05:00 UTC+06:00,5 Min,474.0M,398.0M,11.85,9.95,474.0M,9.95,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:10:00 UTC+06:00,5 Min,473.0M,394.0M,11.81,9.84,473.0M,9.84,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:15:00 UTC+06:00,5 Min,476.0M,403.0M,11.89,10.07,476.0M,10.07,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:20:00 UTC+06:00,5 Min,474.0M,406.0M,11.86,10.14,474.0M,10.14,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:25:00 UTC+06:00,5 Min,489.0M,423.0M,12.23,10.59,489.0M,10.59,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:30:00 UTC+06:00,5 Min,480.0M,403.0M,11.99,10.07,480.0M,10.07,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:35:00 UTC+06:00,5 Min,471.0M,392.0M,11.79,9.81,471.0M,9.81,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:40:00 UTC+06:00,5 Min,478.0M,401.0M,11.94,10.02,478.0M,10.02,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:45:00 UTC+06:00,5 Min,473.0M,402.0M,11.82,10.04,473.0M,10.04,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:50:00 UTC+06:00,5 Min,468.0M,407.0M,11.70,10.17,468.0M,10.17,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 15:55:00 UTC+06:00,5 Min,471.0M,397.0M,11.79,9.92,471.0M,9.92,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:00:00 UTC+06:00,5 Min,470.0M,385.0M,11.76,9.62,470.0M,9.62,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:05:00 UTC+06:00,5 Min,472.0M,393.0M,11.80,9.82,472.0M,9.82,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:10:00 UTC+06:00,5 Min,475.0M,407.0M,11.87,10.17,475.0M,10.17,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:15:00 UTC+06:00,5 Min,469.0M,400.0M,11.72,10.01,469.0M,10.01,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:20:00 UTC+06:00,5 Min,467.0M,407.0M,11.66,10.18,467.0M,10.18,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:25:00 UTC+06:00,5 Min,476.0M,415.0M,11.90,10.37,476.0M,10.37,0,0,4.0G,100.00
MM01-C-CE-RT-1-A/Eth-Trunk0,20/06/2015 16:30:00 UTC+06:00,5 Min,463.0M,407.0M,11.57,10.18,463.0M,10.18,0,0,4.0G,100.00
