""

"Save Time: 21/06/2015 10:23:23"
"User Name:omcuser"


" "

"Total 288 Records"

"Resource Name","Collection Time","Granularity ","Inbound Rate(bit/s)","Outbound Rate(bit/s)","Inbound Bandwidth Utilization(%)","Outbound Bandwidth Utilization(%)","Max Rate(bit/s)","Max Bandwidth Utilization(%)","Inbound Discarded Packet(packet)","Outbound Discarded Packet(packet)","Bandwidth(bit/s)","Interface Availability(%)"
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:15:00 UTC+06:00,5 Min,484.0M,143.0M,48.38,14.29
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:20:00 UTC+06:00,5 Min,482.0M,143.0M,48.22,14.32
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:25:00 UTC+06:00,5 Min,477.0M,145.0M,47.75,14.45
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:30:00 UTC+06:00,5 Min,477.0M,146.0M,47.71,14.56
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:35:00 UTC+06:00,5 Min,475.0M,146.0M,47.49,14.61
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:40:00 UTC+06:00,5 Min,477.0M,147.0M,47.66,14.71
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:45:00 UTC+06:00,5 Min,480.0M,149.0M,48.01,14.87
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:50:00 UTC+06:00,5 Min,478.0M,150.0M,47.78,15.01
HC03_S9306_SW_B/Vlanif604,20/06/2015 15:55:00 UTC+06:00,5 Min,477.0M,150.0M,47.66,15.02
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:00:00 UTC+06:00,5 Min,472.0M,151.0M,47.25,15.05
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:05:00 UTC+06:00,5 Min,474.0M,150.0M,47.44,14.95
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:10:00 UTC+06:00,5 Min,466.0M,149.0M,46.56,14.90
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:15:00 UTC+06:00,5 Min,464.0M,148.0M,46.43,14.80
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:20:00 UTC+06:00,5 Min,463.0M,146.0M,46.27,14.63
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:25:00 UTC+06:00,5 Min,459.0M,144.0M,45.85,14.37
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:30:00 UTC+06:00,5 Min,455.0M,146.0M,45.53,14.55
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:35:00 UTC+06:00,5 Min,448.0M,148.0M,44.79,14.75
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:40:00 UTC+06:00,5 Min,454.0M,152.0M,45.41,15.20
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:45:00 UTC+06:00,5 Min,456.0M,151.0M,45.56,15.12
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:50:00 UTC+06:00,5 Min,453.0M,152.0M,45.33,15.20
HC03_S9306_SW_B/Vlanif604,20/06/2015 16:55:00 UTC+06:00,5 Min,442.0M,150.0M,44.19,15.04
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:00:00 UTC+06:00,5 Min,414.0M,147.0M,41.40,14.74
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:05:00 UTC+06:00,5 Min,376.0M,134.0M,37.60,13.45
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:10:00 UTC+06:00,5 Min,355.0M,125.0M,35.50,12.53
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:15:00 UTC+06:00,5 Min,345.0M,121.0M,34.47,12.06
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:20:00 UTC+06:00,5 Min,338.0M,118.0M,33.79,11.75
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:25:00 UTC+06:00,5 Min,342.0M,121.0M,34.23,12.10
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:30:00 UTC+06:00,5 Min,385.0M,142.0M,38.51,14.19
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:35:00 UTC+06:00,5 Min,420.0M,158.0M,41.98,15.79
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:40:00 UTC+06:00,5 Min,447.0M,170.0M,44.73,17.01
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:45:00 UTC+06:00,5 Min,455.0M,165.0M,45.46,16.52
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:50:00 UTC+06:00,5 Min,458.0M,166.0M,45.82,16.64
HC03_S9306_SW_B/Vlanif604,20/06/2015 17:55:00 UTC+06:00,5 Min,460.0M,165.0M,46.02,16.53
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:00:00 UTC+06:00,5 Min,457.0M,166.0M,45.72,16.62
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:05:00 UTC+06:00,5 Min,456.0M,165.0M,45.61,16.53
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:10:00 UTC+06:00,5 Min,453.0M,164.0M,45.25,16.35
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:15:00 UTC+06:00,5 Min,450.0M,164.0M,45.04,16.43
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:20:00 UTC+06:00,5 Min,437.0M,161.0M,43.74,16.13
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:25:00 UTC+06:00,5 Min,424.0M,158.0M,42.43,15.82
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:30:00 UTC+06:00,5 Min,402.0M,151.0M,40.21,15.14
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:35:00 UTC+06:00,5 Min,381.0M,146.0M,38.11,14.59
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:40:00 UTC+06:00,5 Min,352.0M,133.0M,35.15,13.30
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:45:00 UTC+06:00,5 Min,302.0M,117.0M,30.20,11.72
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:50:00 UTC+06:00,5 Min,238.0M,95.7M,23.81,9.57
HC03_S9306_SW_B/Vlanif604,20/06/2015 18:55:00 UTC+06:00,5 Min,124.0M,54.3M,12.42,5.43
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:00:00 UTC+06:00,5 Min,76.4M,36.5M,7.64,3.65
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:05:00 UTC+06:00,5 Min,97.9M,47.6M,9.79,4.76
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:10:00 UTC+06:00,5 Min,145.0M,68.1M,14.49,6.81
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:15:00 UTC+06:00,5 Min,222.0M,98.7M,22.22,9.87
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:20:00 UTC+06:00,5 Min,324.0M,140.0M,32.44,14.05
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:25:00 UTC+06:00,5 Min,476.0M,188.0M,47.56,18.82
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:30:00 UTC+06:00,5 Min,632.0M,225.0M,63.24,22.51
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:35:00 UTC+06:00,5 Min,737.0M,255.0M,73.65,25.48
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:40:00 UTC+06:00,5 Min,810.0M,277.0M,81.00,27.67
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:45:00 UTC+06:00,5 Min,854.0M,290.0M,85.43,28.98
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:50:00 UTC+06:00,5 Min,880.0M,296.0M,88.02,29.56
HC03_S9306_SW_B/Vlanif604,20/06/2015 19:55:00 UTC+06:00,5 Min,878.0M,292.0M,87.84,29.20
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:00:00 UTC+06:00,5 Min,881.0M,290.0M,88.13,28.96
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:05:00 UTC+06:00,5 Min,886.0M,289.0M,88.60,28.86
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:10:00 UTC+06:00,5 Min,879.0M,286.0M,87.91,28.56
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:15:00 UTC+06:00,5 Min,863.0M,281.0M,86.31,28.13
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:20:00 UTC+06:00,5 Min,833.0M,279.0M,83.31,27.86
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:25:00 UTC+06:00,5 Min,779.0M,259.0M,77.91,25.92
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:30:00 UTC+06:00,5 Min,758.0M,248.0M,75.85,24.75
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:35:00 UTC+06:00,5 Min,710.0M,228.0M,71.03,22.82
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:40:00 UTC+06:00,5 Min,667.0M,210.0M,66.71,21.02
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:45:00 UTC+06:00,5 Min,633.0M,200.0M,63.33,20.00
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:50:00 UTC+06:00,5 Min,604.0M,191.0M,60.35,19.08
HC03_S9306_SW_B/Vlanif604,20/06/2015 20:55:00 UTC+06:00,5 Min,572.0M,182.0M,57.18,18.21
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:00:00 UTC+06:00,5 Min,555.0M,174.0M,55.48,17.39
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:05:00 UTC+06:00,5 Min,536.0M,168.0M,53.59,16.78
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:10:00 UTC+06:00,5 Min,519.0M,166.0M,51.94,16.60
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:15:00 UTC+06:00,5 Min,514.0M,165.0M,51.40,16.46
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:20:00 UTC+06:00,5 Min,511.0M,166.0M,51.05,16.62
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:25:00 UTC+06:00,5 Min,512.0M,168.0M,51.24,16.76
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:30:00 UTC+06:00,5 Min,516.0M,170.0M,51.63,16.98
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:35:00 UTC+06:00,5 Min,524.0M,174.0M,52.39,17.35
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:40:00 UTC+06:00,5 Min,528.0M,174.0M,52.80,17.38
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:45:00 UTC+06:00,5 Min,529.0M,176.0M,52.93,17.58
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:50:00 UTC+06:00,5 Min,538.0M,179.0M,53.77,17.95
HC03_S9306_SW_B/Vlanif604,20/06/2015 21:55:00 UTC+06:00,5 Min,545.0M,181.0M,54.51,18.14
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:00:00 UTC+06:00,5 Min,549.0M,182.0M,54.86,18.23
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:05:00 UTC+06:00,5 Min,560.0M,185.0M,56.05,18.49
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:10:00 UTC+06:00,5 Min,573.0M,184.0M,57.31,18.41
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:15:00 UTC+06:00,5 Min,578.0M,185.0M,57.81,18.47
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:20:00 UTC+06:00,5 Min,584.0M,183.0M,58.37,18.28
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:25:00 UTC+06:00,5 Min,599.0M,184.0M,59.87,18.37
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:30:00 UTC+06:00,5 Min,593.0M,178.0M,59.27,17.80
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:35:00 UTC+06:00,5 Min,579.0M,171.0M,57.86,17.10
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:40:00 UTC+06:00,5 Min,567.0M,163.0M,56.68,16.34
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:45:00 UTC+06:00,5 Min,559.0M,157.0M,55.94,15.73
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:50:00 UTC+06:00,5 Min,548.0M,153.0M,54.83,15.31
HC03_S9306_SW_B/Vlanif604,20/06/2015 22:55:00 UTC+06:00,5 Min,534.0M,146.0M,53.36,14.58
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:00:00 UTC+06:00,5 Min,511.0M,138.0M,51.15,13.82
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:05:00 UTC+06:00,5 Min,493.0M,130.0M,49.26,13.03
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:10:00 UTC+06:00,5 Min,471.0M,122.0M,47.14,12.15
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:15:00 UTC+06:00,5 Min,453.0M,114.0M,45.29,11.40
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:20:00 UTC+06:00,5 Min,434.0M,107.0M,43.40,10.66
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:25:00 UTC+06:00,5 Min,421.0M,100.0M,42.11,10.01
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:30:00 UTC+06:00,5 Min,398.0M,93.2M,39.78,9.32
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:35:00 UTC+06:00,5 Min,377.0M,89.1M,37.69,8.91
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:40:00 UTC+06:00,5 Min,357.0M,82.2M,35.71,8.22
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:45:00 UTC+06:00,5 Min,335.0M,75.7M,33.51,7.57
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:50:00 UTC+06:00,5 Min,315.0M,69.9M,31.48,6.99
HC03_S9306_SW_B/Vlanif604,20/06/2015 23:55:00 UTC+06:00,5 Min,295.0M,63.5M,29.55,6.35
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:00:00 UTC+06:00,5 Min,283.0M,59.0M,28.33,5.90
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:05:00 UTC+06:00,5 Min,281.0M,56.0M,28.09,5.60
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:10:00 UTC+06:00,5 Min,279.0M,54.1M,27.87,5.41
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:15:00 UTC+06:00,5 Min,271.0M,53.4M,27.07,5.34
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:20:00 UTC+06:00,5 Min,261.0M,50.4M,26.06,5.04
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:25:00 UTC+06:00,5 Min,250.0M,47.6M,24.98,4.76
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:30:00 UTC+06:00,5 Min,240.0M,44.8M,23.96,4.48
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:35:00 UTC+06:00,5 Min,229.0M,41.7M,22.94,4.17
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:40:00 UTC+06:00,5 Min,209.0M,38.6M,20.92,3.86
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:45:00 UTC+06:00,5 Min,199.0M,36.9M,19.89,3.69
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:50:00 UTC+06:00,5 Min,194.0M,34.0M,19.43,3.40
HC03_S9306_SW_B/Vlanif604,21/06/2015 00:55:00 UTC+06:00,5 Min,183.0M,31.6M,18.25,3.16
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:00:00 UTC+06:00,5 Min,170.0M,29.2M,17.04,2.92
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:05:00 UTC+06:00,5 Min,161.0M,28.1M,16.07,2.81
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:10:00 UTC+06:00,5 Min,152.0M,28.6M,15.23,2.86
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:15:00 UTC+06:00,5 Min,144.0M,27.3M,14.38,2.73
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:20:00 UTC+06:00,5 Min,139.0M,25.7M,13.91,2.57
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:25:00 UTC+06:00,5 Min,132.0M,24.9M,13.18,2.49
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:30:00 UTC+06:00,5 Min,124.0M,23.6M,12.42,2.36
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:35:00 UTC+06:00,5 Min,117.0M,23.0M,11.72,2.30
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:40:00 UTC+06:00,5 Min,110.0M,21.8M,11.01,2.18
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:45:00 UTC+06:00,5 Min,107.0M,21.5M,10.68,2.15
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:50:00 UTC+06:00,5 Min,101.0M,20.7M,10.15,2.07
HC03_S9306_SW_B/Vlanif604,21/06/2015 01:55:00 UTC+06:00,5 Min,95.9M,20.3M,9.59,2.03
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:00:00 UTC+06:00,5 Min,95.7M,21.0M,9.57,2.10
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:05:00 UTC+06:00,5 Min,93.6M,22.1M,9.36,2.21
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:10:00 UTC+06:00,5 Min,91.5M,22.1M,9.15,2.21
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:15:00 UTC+06:00,5 Min,90.2M,22.9M,9.02,2.29
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:20:00 UTC+06:00,5 Min,89.9M,23.6M,8.99,2.36
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:25:00 UTC+06:00,5 Min,91.3M,24.9M,9.13,2.49
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:30:00 UTC+06:00,5 Min,95.2M,27.7M,9.52,2.77
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:35:00 UTC+06:00,5 Min,103.0M,31.0M,10.31,3.10
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:40:00 UTC+06:00,5 Min,114.0M,35.5M,11.38,3.55
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:45:00 UTC+06:00,5 Min,131.0M,42.8M,13.10,4.28
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:50:00 UTC+06:00,5 Min,153.0M,51.3M,15.26,5.13
HC03_S9306_SW_B/Vlanif604,21/06/2015 02:55:00 UTC+06:00,5 Min,177.0M,60.1M,17.73,6.01
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:00:00 UTC+06:00,5 Min,195.0M,66.7M,19.46,6.67
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:05:00 UTC+06:00,5 Min,215.0M,74.6M,21.52,7.46
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:10:00 UTC+06:00,5 Min,209.0M,75.2M,20.86,7.52
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:15:00 UTC+06:00,5 Min,213.0M,79.3M,21.29,7.93
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:20:00 UTC+06:00,5 Min,223.0M,81.9M,22.27,8.19
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:25:00 UTC+06:00,5 Min,250.0M,91.1M,25.00,9.11
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:30:00 UTC+06:00,5 Min,294.0M,104.0M,29.39,10.41
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:35:00 UTC+06:00,5 Min,341.0M,121.0M,34.08,12.11
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:40:00 UTC+06:00,5 Min,375.0M,131.0M,37.54,13.11
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:45:00 UTC+06:00,5 Min,383.0M,135.0M,38.28,13.46
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:50:00 UTC+06:00,5 Min,299.0M,110.0M,29.88,11.02
HC03_S9306_SW_B/Vlanif604,21/06/2015 03:55:00 UTC+06:00,5 Min,235.0M,80.9M,23.47,8.09
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:00:00 UTC+06:00,5 Min,192.0M,62.9M,19.23,6.29
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:05:00 UTC+06:00,5 Min,173.0M,54.8M,17.27,5.48
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:10:00 UTC+06:00,5 Min,164.0M,51.0M,16.37,5.10
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:15:00 UTC+06:00,5 Min,170.0M,53.3M,17.02,5.33
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:20:00 UTC+06:00,5 Min,162.0M,48.3M,16.22,4.83
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:25:00 UTC+06:00,5 Min,143.0M,41.7M,14.28,4.17
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:30:00 UTC+06:00,5 Min,119.0M,34.3M,11.94,3.43
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:35:00 UTC+06:00,5 Min,99.7M,28.3M,9.97,2.83
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:40:00 UTC+06:00,5 Min,82.9M,24.1M,8.29,2.41
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:45:00 UTC+06:00,5 Min,70.3M,20.5M,7.03,2.05
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:50:00 UTC+06:00,5 Min,61.2M,18.2M,6.12,1.82
HC03_S9306_SW_B/Vlanif604,21/06/2015 04:55:00 UTC+06:00,5 Min,54.1M,16.4M,5.41,1.64
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:00:00 UTC+06:00,5 Min,49.3M,14.8M,4.93,1.48
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:05:00 UTC+06:00,5 Min,44.9M,14.2M,4.49,1.42
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:10:00 UTC+06:00,5 Min,41.4M,13.4M,4.14,1.34
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:15:00 UTC+06:00,5 Min,37.6M,13.0M,3.76,1.30
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:20:00 UTC+06:00,5 Min,36.0M,13.0M,3.60,1.30
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:25:00 UTC+06:00,5 Min,34.6M,12.3M,3.46,1.23
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:30:00 UTC+06:00,5 Min,34.4M,13.4M,3.44,1.34
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:35:00 UTC+06:00,5 Min,34.9M,14.0M,3.49,1.40
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:40:00 UTC+06:00,5 Min,36.0M,14.5M,3.60,1.45
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:45:00 UTC+06:00,5 Min,37.0M,16.1M,3.70,1.61
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:50:00 UTC+06:00,5 Min,38.6M,17.2M,3.86,1.72
HC03_S9306_SW_B/Vlanif604,21/06/2015 05:55:00 UTC+06:00,5 Min,41.1M,18.6M,4.11,1.86
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:00:00 UTC+06:00,5 Min,44.4M,20.9M,4.44,2.09
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:05:00 UTC+06:00,5 Min,48.1M,23.5M,4.81,2.35
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:10:00 UTC+06:00,5 Min,51.4M,25.4M,5.14,2.54
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:15:00 UTC+06:00,5 Min,57.4M,29.3M,5.74,2.93
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:20:00 UTC+06:00,5 Min,61.6M,32.1M,6.16,3.21
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:25:00 UTC+06:00,5 Min,66.5M,35.5M,6.65,3.55
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:30:00 UTC+06:00,5 Min,75.1M,41.8M,7.51,4.18
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:35:00 UTC+06:00,5 Min,82.0M,47.6M,8.20,4.76
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:40:00 UTC+06:00,5 Min,89.4M,51.8M,8.94,5.18
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:45:00 UTC+06:00,5 Min,94.7M,56.4M,9.47,5.64
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:50:00 UTC+06:00,5 Min,98.9M,57.7M,9.89,5.77
HC03_S9306_SW_B/Vlanif604,21/06/2015 06:55:00 UTC+06:00,5 Min,98.7M,55.8M,9.87,5.58
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:00:00 UTC+06:00,5 Min,98.2M,51.7M,9.82,5.17
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:05:00 UTC+06:00,5 Min,98.0M,49.2M,9.80,4.92
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:10:00 UTC+06:00,5 Min,101.0M,50.8M,10.10,5.08
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:15:00 UTC+06:00,5 Min,107.0M,53.0M,10.65,5.30
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:20:00 UTC+06:00,5 Min,112.0M,55.1M,11.22,5.51
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:25:00 UTC+06:00,5 Min,118.0M,57.3M,11.81,5.73
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:30:00 UTC+06:00,5 Min,123.0M,60.4M,12.32,6.04
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:35:00 UTC+06:00,5 Min,130.0M,63.2M,13.01,6.32
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:40:00 UTC+06:00,5 Min,136.0M,64.4M,13.64,6.44
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:45:00 UTC+06:00,5 Min,143.0M,68.0M,14.34,6.80
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:50:00 UTC+06:00,5 Min,152.0M,71.4M,15.19,7.14
HC03_S9306_SW_B/Vlanif604,21/06/2015 07:55:00 UTC+06:00,5 Min,158.0M,74.7M,15.81,7.47
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:00:00 UTC+06:00,5 Min,165.0M,76.4M,16.53,7.64
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:05:00 UTC+06:00,5 Min,174.0M,80.6M,17.39,8.06
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:10:00 UTC+06:00,5 Min,182.0M,82.4M,18.19,8.24
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:15:00 UTC+06:00,5 Min,190.0M,87.0M,19.05,8.70
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:20:00 UTC+06:00,5 Min,201.0M,88.4M,20.06,8.84
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:25:00 UTC+06:00,5 Min,208.0M,91.8M,20.76,9.18
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:30:00 UTC+06:00,5 Min,219.0M,97.1M,21.86,9.71
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:35:00 UTC+06:00,5 Min,227.0M,98.0M,22.67,9.80
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:40:00 UTC+06:00,5 Min,235.0M,101.0M,23.50,10.11
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:45:00 UTC+06:00,5 Min,248.0M,105.0M,24.79,10.50
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:50:00 UTC+06:00,5 Min,258.0M,109.0M,25.84,10.91
HC03_S9306_SW_B/Vlanif604,21/06/2015 08:55:00 UTC+06:00,5 Min,268.0M,111.0M,26.77,11.13
HC03_S9306_SW_B/Vlanif604,21/06/2015 09:00:00 UTC+06:00,5 Min,277.0M,116.0M,27.71,11.58
HC03_S9306_SW_B/Vlanif604,21/06/2015 09:05:00 UTC+06:00,5 Min,295.0M,121.0M,29.52,12.14
